Country,Order Date,Total Revenue
Federated States of Micronesia,30/08/1951,24995.07
China,04/02/1960,742517.05
Panama,24/06/1985,4176711
Gabon,24/08/1966,2362162.11
Equatorial Guinea,09/06/1985,941217.36
Niger,17/07/1951,569867.94
Burkina Faso,04/03/1987,104532.35
Malawi,14/10/1960,1189818.84
Thailand,03/11/1996,941768.78
Romania,28/02/1987,741028.6
Cambodia,14/03/1961,407168.45
South Africa,30/07/1983,1059156.72
United Kingdom,07/09/1961,3431876.7
Denmark,29/08/1988,844734.4
Laos,09/05/1962,663112.68
Ireland,24/12/1996,92982.78
Czech Republic,24/11/1951,4213979.91
Namibia,19/12/1974,1185851.76
Pakistan,07/11/1959,733909.8
Cote d'Ivoire,02/05/1974,61306.08
Marshall Islands,26/05/1999,3360061.56
Iceland,12/05/1992,37839.84
Uganda,21/07/1951,2311476.4
Cyprus,02/09/1954,832664.42
Lesotho,07/02/1983,963337.18
Hungary,17/09/1989,71712.6
Ukraine,26/11/1959,277999.92
Belize,26/08/1965,4775974.14
United Arab Emirates,21/03/1959,3648085.93
Oman,03/01/1983,34996.83
Poland,25/08/1968,615263.44
South Africa,22/02/1953,1056093.36
Guinea,01/02/1962,1214384.22
Denmark,26/05/1990,2362628.8
Turkmenistan,26/03/1952,4335275.2
Saint Kitts and Nevis ,07/10/1972,1063177.44
Republic of the Congo,13/07/1976,1864464.8
Sri Lanka,25/07/1982,113061.78
Nauru,25/01/1975,169254.15
Armenia,26/11/1980,54045.55
Ukraine,22/06/1975,2731887.76
Palau,30/11/1995,2141091.75
Czech Republic,26/09/1964,780014.4
Lebanon,21/07/1997,1311814.01
Belize,21/08/1965,5575376.61
Belgium,06/11/1971,572795.08
Angola,18/08/1994,900984.9
Malawi,02/12/1981,2078011.6
Andorra,20/12/1972,3012716.49
United Kingdom,11/11/1965,161988.86
Georgia,24/07/1980,3397362.57
Spain,19/09/1958,3221061.4
South Korea,03/10/1984,2534011.2
Indonesia,16/10/1972,3373919.01
Mauritius ,17/08/1970,1448539.4
Burundi,01/03/1957,3154893.42
Bulgaria,20/09/1959,1978628.3
Tunisia ,30/01/1964,3771287.2
Poland,16/11/1956,1708078.48
Guinea-Bissau,18/10/1951,5371554.26
Montenegro,18/11/1981,2554045.62
Belize,03/04/1954,1947786.4
Burundi,05/07/1979,3998251.53
Iraq,26/10/1975,148258.22
Senegal,17/06/1987,37506.6
Liechtenstein,16/07/1955,1543778.5
Tanzania,23/06/1962,476476.51
Belarus,01/10/1980,2681682.78
Palau,30/09/1993,1333327.44
Algeria,18/01/1958,2382382.55
Spain,31/07/1976,624207.36
Canada,29/09/1981,40363.72
Egypt,09/06/1990,310792.32
Qatar,01/02/1967,53191.45
Uganda,15/02/1992,464298.25
Belarus,02/05/1997,454255.34
South Sudan,28/11/1986,335218.26
Indonesia,21/04/1964,2398916.4
United Kingdom,17/06/1979,673863.85
Tuvalu,19/02/1968,3465088.41
Spain,22/06/1963,1323837.58
Samoa ,11/02/1975,161335.02
Ethiopia,31/05/1989,699938.4
India,16/04/1972,1240660.8
Monaco,13/12/1996,3098782.05
Portugal,28/02/1956,3838882.95
Vanuatu,12/09/1994,1046574.56
Mauritius ,04/01/1998,4004157.99
Nepal,04/11/1985,2516036.55
Tanzania,06/10/1977,279975.36
Benin,13/08/1974,469030.92
Gabon,06/09/1958,696967.44
Sudan,02/06/1986,150274.15
Cameroon,27/07/1992,1860735.92
Iran,24/01/1955,454185.6
Tunisia ,09/03/1992,2224204.08
Libya,14/11/1980,363669.18
Somalia,25/07/1960,50270.04
Zimbabwe,13/10/1989,108755.4
Comoros,15/04/1990,1085968.94
San Marino,09/10/1959,236372.64
New Zealand,13/10/1957,237137.6
Bosnia and Herzegovina,15/08/1959,1330770.28
Mexico,04/11/1977,1062440.5
Myanmar,26/05/1978,1591819.14
Turkey,29/11/1977,1970728.23
Ethiopia,02/04/1966,4383182.93
Algeria,02/08/1978,752982.3
Poland,15/12/1955,4565620.64
Canada,06/06/1970,467880.22
Saint Lucia,10/09/1989,281191.9
Federated States of Micronesia,08/01/1978,79241.5
Tonga,03/09/1964,39193.7
Kuwait,30/10/1971,367595.15
Lithuania,17/10/1973,397346.3
Denmark,29/12/1968,55739.86
Mongolia,29/08/1982,790819.48
Saint Vincent and the Grenadines,22/10/1993,1597165.3
Monaco,22/02/1953,27001.02
Comoros,16/01/2000,345673.25
Afghanistan,17/09/1982,2219404.32
Bulgaria,26/09/1997,1524323.87
Vietnam,25/01/1983,155639.19
Slovenia,29/08/1964,2969025.2
El Salvador,07/06/1981,1395979.6
Belize,31/01/1978,420583.8
Fiji,15/09/1958,467495.6
Myanmar,01/01/1961,3015234.24
Namibia,18/01/1994,693479.05
Rwanda,09/08/1991,989093.28
Libya,17/11/1960,220737.4
Tanzania,03/08/1965,470846.53
Tunisia ,24/06/1961,92217.72
Greenland,29/03/1982,2866283.2
Ireland,13/06/1991,256261.6
Cyprus,25/09/1971,1203345
Albania,03/02/1970,1758918.21
North Korea,04/08/1957,60978.24
Senegal,31/03/1973,1798640.8
Guinea-Bissau,25/02/1954,59911.32
Belgium,16/08/1991,1464571.29
Madagascar,02/09/1956,971629.44
Indonesia,25/02/1967,2222938.41
Benin,28/01/1999,415264
Equatorial Guinea,05/01/1989,591590.4
Iraq,12/07/1994,760170.73
Denmark,04/12/1987,171652.5
Latvia,13/08/1954,1488014.85
Tuvalu,18/10/1992,1175807.43
Guatemala,18/09/1979,2040412.4
Vietnam,25/04/1953,571456.16
Iceland,10/03/1989,70369.53
Romania,04/01/1978,905697.1
Slovakia,08/12/1970,369161
Sudan,22/07/1975,1248714.72
Bangladesh,29/01/1990,3151205.19
Belize,12/11/1973,616240
Oman,03/09/1977,187522.4
Nauru,05/11/1977,2136.12
Cameroon,02/05/1961,4167827.6
Comoros,25/05/1980,1061473.4
Morocco,02/07/1991,3584377.44
Ghana,31/05/1957,851619.04
Nigeria,29/11/1997,52453.5
Belarus,19/11/1952,3537969.54
South Sudan,07/08/1982,1025795.34
Democratic Republic of the Congo,21/06/1978,324273.3
Sierra Leone,13/01/1994,356802.96
Cote d'Ivoire,22/12/1989,180357.45
Haiti,08/02/1989,812103.6
Qatar,07/07/1981,1595464.5
Bahrain,08/08/1984,9619.23
Lithuania,04/10/1961,400762.7
Namibia,07/01/1966,447962.13
Cape Verde,26/09/1989,813458.69
Algeria,14/06/1956,81186.95
Gabon,26/12/1962,624008.55
Kiribati,11/01/1959,2799662.04
United Kingdom,06/09/1998,380534.88
Qatar,06/11/1999,790247.37
Bahrain,29/10/1957,62324.4
Denmark,01/12/1992,695638
Taiwan,11/12/1993,1250333.17
Malawi,04/03/1974,91972.02
North Korea,24/06/1953,228220.32
Moldova ,15/07/1994,5900613.81
Swaziland,12/07/1983,1764240.08
Albania,26/05/1973,411344.05
Mauritania,19/11/2000,2443073.6
Panama,30/11/1994,145713.9
Syria,15/05/1973,776327.04
South Korea,19/08/1999,15895.75
Seychelles ,22/01/1972,1551081.28
France,29/01/1961,304199.06
Dominican Republic,13/05/1964,1116825.15
Antigua and Barbuda ,31/08/1988,25101.05
Grenada,30/03/1995,626869.1
Solomon Islands,31/12/1982,407693.76
Czech Republic,09/08/1969,99834.8
Iran,22/05/1996,1165097.92
Montenegro,09/03/1985,53013.06
Kiribati,26/10/1986,340844.32
Sierra Leone,15/10/1982,661523.52
Cyprus,24/10/1967,1194119.06
Lesotho,03/05/1997,2371810
Nicaragua,28/05/1984,250601.25
Haiti,25/10/1981,442894.87
Liechtenstein,27/04/1987,832540.24
Indonesia,27/12/1973,180786.76
Norway,01/03/1991,1065807.84
Samoa ,05/10/1991,3921246.8
Mozambique,12/07/1983,723718.8
Guatemala,16/02/1959,147965.12
Mauritius ,23/02/1958,2869780.8
Georgia,18/12/1970,615590.36
Tuvalu,17/12/1968,585303.68
Togo,13/02/1955,892380.48
Uzbekistan,20/10/1985,2676975.6
Bahrain,09/11/1959,1638642.32
Bulgaria,09/05/1994,5532607.33
Cyprus,04/05/1968,377607.1
Mauritania,18/02/1965,769318
Malawi,26/08/1982,630846.88
Jordan,08/02/1970,1766027.04
Andorra,25/08/1982,3935262.03
Tunisia ,07/11/1958,224391.05
Burkina Faso,11/12/1962,979411.02
Indonesia,25/12/1978,1681018.8
Iran,26/02/1973,3263319.15
Sao Tome and Principe,10/03/1969,905491.4
Lebanon,24/07/1980,5449741.85
Tunisia ,14/06/1983,395639.94
Malta,26/09/1992,5433696.24
India,05/07/1973,882108.16
Guinea-Bissau,28/06/1953,954673.86
Syria,18/12/1969,38602.74
Malta,02/07/1995,29716.05
Jordan,15/01/1991,268044
Malawi,20/05/1967,15534.45
Macedonia,10/10/1968,1245255.84
Dominica,06/07/1959,4929659.7
Equatorial Guinea,24/11/1983,80713.83
Central African Republic,03/06/1964,1714139.07
Israel,10/06/1973,271744.98
Croatia,20/02/1956,1738456.8
Malaysia,13/10/1974,505500.05
Seychelles ,27/01/1992,37077.42
Federated States of Micronesia,06/03/1998,966726.5
Brunei,19/11/1958,58023.27
Haiti,13/04/1988,1381301.96
Central African Republic,10/02/1956,733159.52
Taiwan,29/12/1969,401166.88
Nepal,21/08/1953,721540.68
The Gambia,03/05/1974,188469.38
Jamaica,15/07/1957,1167928.86
Myanmar,25/08/1974,6045182.43
New Zealand,26/07/1959,4538889.84
Zimbabwe,20/03/1955,123984.41
Indonesia,01/08/1974,391447.1
Andorra,15/01/1957,5485141.83
Cambodia,08/12/1961,3751613.2
Slovakia,05/09/1957,1278400.51
Estonia,04/06/1986,46538.04
Myanmar,24/11/1988,1317097.1
Botswana,14/10/1958,275459.28
Swaziland,15/06/1979,417797.25
Marshall Islands,24/03/1960,441637.9
Fiji,13/04/1978,3600831.15
Denmark,23/05/1958,755044.4
Ukraine,12/03/1976,5016702.89
Turkey,02/10/1984,1326377.94
Lebanon,11/09/1956,27358.1
Liechtenstein,30/11/1968,946833.52
Lesotho,18/12/1982,684981
Burundi,21/06/1967,812314.47
Croatia,30/05/1983,993143.22
Armenia,03/04/1968,626767.9
Nepal,13/11/1959,244493.22
Nicaragua,20/05/1957,130808.16
Botswana,17/12/1960,1301107.2
Latvia,24/06/1998,412981.69
Senegal,23/01/1983,5072169.3
Sweden,16/05/1983,1198586.8
Burundi,23/05/1965,2118234
Turkmenistan,20/12/1995,3368080.8
Romania,15/04/1998,1024961.18
Comoros,01/11/1984,546400
Gabon,19/11/1974,1528145.3
Uganda,31/10/1986,5560674.67
France,20/03/1960,334030.51
Saint Vincent and the Grenadines,18/03/1970,1680363.3
Austria,02/10/1987,1242633.7
Tajikistan,12/03/1953,139000.16
Swaziland,16/05/1952,425404.65
Eritrea,07/11/1978,1738170.27
Central African Republic,12/09/1989,489889.62
Israel,12/02/1961,1534998.64
Switzerland,23/10/1952,2244454.8
Ireland,11/03/1991,294881.84
Ireland,05/08/1964,212416.27
Spain,23/04/1974,160056.42
Haiti,25/02/1983,6511622.88
Samoa ,13/06/1976,2842674.4
Ethiopia,21/08/1982,180250.2
San Marino,08/02/1964,409611.09
El Salvador,03/01/1999,1656988
Kiribati,19/12/1966,539009.35
Libya,27/03/2000,3068706.8
United Kingdom,15/11/1979,16593.2
South Sudan,11/03/1969,426746.2
Benin,01/07/1953,2348831.28
Bahrain,29/12/1965,50913.81
Japan,25/03/1989,3120152.63
Seychelles ,22/07/1971,1299815.16
Belize,20/11/1966,1052584.96
Cambodia,25/12/1997,274491.42
Monaco,30/11/1992,1065917.12
Federated States of Micronesia,13/08/1952,2860836.09
Kyrgyzstan,21/02/1995,816640.72
Israel,04/12/1979,346159.68
Tajikistan,19/12/1974,411564.72
Mexico,21/03/1998,371990.04
Greenland,19/02/1961,247546.65
Laos,30/07/1995,1942013.7
Slovenia,09/07/1986,668067.76
Kyrgyzstan,03/12/1976,467609.12
Lithuania,04/03/1963,151969.68
Malaysia,11/02/1953,210445.96
Palau,10/12/1963,429905.91
Togo,18/05/1980,1173475.02
